iter	RMSE
0	0.8884256291
1	0.8700023771
2	0.8534598804
3	0.8370961251
4	0.8205075731
5	0.803949375
6	0.7886367709
7	0.7737117104
8	0.7598625968
9	0.7456443031
10	0.7325346105
11	0.7201524839
12	0.7070442886
13	0.6947625145
14	0.6835464484
15	0.6731009968
16	0.6620479453
17	0.6518698945
18	0.6412720715
19	0.6316791031
20	0.6211404122
21	0.6117895576
22	0.6023899673
23	0.5939806759
24	0.5853363772
25	0.5771390057
26	0.5694466873
27	0.5614056192
28	0.553862414
29	0.5476566726
30	0.5405053653
31	0.5337690482
32	0.5277857639
33	0.5215429044
34	0.5150000692
35	0.5086793189
36	0.5029772132
37	0.4979377522
38	0.4928938389
39	0.4874256461
40	0.4824489067
41	0.477613633
42	0.473498131
43	0.4696196133
44	0.4650313932
45	0.4605720759
46	0.4565666392
47	0.4528119545
48	0.4492505321
49	0.4460842054
50	0.4425368596
51	0.4390609984
52	0.4363880706
53	0.4336337525
54	0.4307754431
55	0.4279484268
56	0.4253191823
57	0.4223730174
58	0.4199212088
59	0.4174938302
60	0.4149884374
61	0.4128514844
62	0.4104431107
63	0.4081282151
64	0.4057670664
65	0.4042080248
66	0.4023013049
67	0.4007344672
68	0.3990658049
69	0.3974165401
70	0.395863497
71	0.3945531965
72	0.392853993
73	0.3913801749
74	0.390099486
75	0.3889783854
76	0.3875293774
77	0.3862542916
78	0.3851320895
79	0.3838234401
80	0.3827944893
81	0.3814149279
82	0.3804736747
83	0.3794539752
84	0.3786183299
85	0.3776788758
86	0.3768077834
87	0.3759254753
88	0.3751214844
89	0.3742601146
90	0.3737486997
91	0.3730346189
92	0.3721960939
93	0.3714764023
94	0.3707685038
95	0.369991673
96	0.3694025707
97	0.3689014803
98	0.3682593575
99	0.3675963196
100	0.3671030728
101	0.366848814
102	0.3663316679
103	0.3658420489
104	0.3655407207
105	0.3650882834
106	0.3643187996
107	0.3636901785
108	0.3632697504
109	0.3624388624
110	0.362138368
111	0.3616350005
112	0.361004212
113	0.360634547
114	0.3603024847
115	0.3600627241
116	0.3599868647
117	0.3594929171
118	0.3592809084
119	0.3588908023
120	0.358195244
121	0.3577802026
122	0.3574316706
123	0.3570615232
124	0.3567071744
125	0.3564689003
126	0.3559997123
127	0.3556475272
128	0.355387284
129	0.3547526514
130	0.3544312079
131	0.354123058
132	0.353880992
133	0.3535768017
134	0.3531434786
135	0.3526476566
136	0.3523287393
137	0.3519965551
138	0.3514476287
139	0.3512383162
140	0.3510205128
141	0.3508182333
142	0.3506746847
143	0.3503374174
144	0.3501470779
145	0.3499004884
146	0.3495692337
147	0.3491190129
148	0.3487942175
149	0.3486744852
150	0.3482735729
151	0.3480206455
152	0.3478494371
153	0.3476678959
154	0.347381653
155	0.3470920181
156	0.3467929449
157	0.3466168655
158	0.3464798455
159	0.3462637827
160	0.346039538
161	0.3459493569
162	0.345680983
163	0.3455184126
164	0.3453652663
165	0.344852564
166	0.344452308
167	0.3443175155
168	0.3441724241
169	0.3438699524
170	0.3437917011
171	0.34361747
172	0.3434709831
173	0.3431401492
174	0.3428321764
175	0.342587707
176	0.34231165
177	0.3422947816
178	0.341934948
179	0.341617254
180	0.3411757268
181	0.340922437
182	0.3407647557
183	0.3405201219
184	0.3403764304
185	0.3401422511
186	0.3399665069
187	0.3399513477
188	0.3397824236
189	0.3395684329
190	0.3391488917
191	0.338996037
192	0.3388706924
193	0.3384551727
194	0.338221655
195	0.33776999
196	0.3373668288
197	0.3369956849
198	0.3367374207
199	0.3365950676
200	0.3364328295
201	0.3358976044
202	0.335808352
203	0.3357904674
204	0.3356609714
205	0.3355709519
206	0.3353582222
207	0.3352157538
208	0.3350748952
209	0.3348327654
210	0.334448793
211	0.3341597823
212	0.3338542215
213	0.3336028731
214	0.3332864963
215	0.3331036688
216	0.3328015957
217	0.3327104308
218	0.3325836149
219	0.3324356858
220	0.3323442565
221	0.3321295995
222	0.3317934995
223	0.3315670205
224	0.3313818069
225	0.3310464361
226	0.3308727051
227	0.3306105439
228	0.3304960166
229	0.3303723801
230	0.3302976818
231	0.330151991
232	0.3300650805
233	0.329866721
234	0.3295955636
235	0.3294559075
236	0.329136879
237	0.3290180728
238	0.3289153346
239	0.3283533289
240	0.3282072839
241	0.3280433615
242	0.3279635457
243	0.3277266165
244	0.3276230083
245	0.3274591922
246	0.3270586799
247	0.326929108
248	0.326654409
249	0.3264309979
250	0.3260881516
251	0.3258006448
252	0.3255403445
253	0.3254816446
254	0.3252851265
255	0.3250300745
256	0.324932198
257	0.3245983271
258	0.3245950423
259	0.3242887323
260	0.3241851836
261	0.3240214248
262	0.3239230357
263	0.3236266299
264	0.3235391679
265	0.3234488122
266	0.3232950023
267	0.3232263978
268	0.3230006083
269	0.3229119279
270	0.3226181441
271	0.3223589853
272	0.322260301
273	0.3220657081
274	0.321940913
275	0.321734969
276	0.3214596813
277	0.3213662947
278	0.3211983541
279	0.3210189398
280	0.3209189404
281	0.3208563427
282	0.3205574513
283	0.3203947118
284	0.3202746931
285	0.3201049654
286	0.3198913975
287	0.3195342918
288	0.3194266629
289	0.3193096837
290	0.319140817
291	0.3189700598
292	0.3188651019
293	0.3187849443
294	0.3185772537
295	0.3183443251
296	0.3182368219
297	0.3181484996
298	0.3179315495
299	0.317594614
300	0.3174341656
301	0.3172506278
302	0.3169962484
303	0.3167767919
304	0.3165774405
305	0.3163283334
306	0.3161739508
307	0.3160414884
308	0.3159276479
309	0.315553738
310	0.3154357356
311	0.3151960164
312	0.3149708949
313	0.3147666622
314	0.3146585613
315	0.3145835966
316	0.3143842568
317	0.3142854892
318	0.3142360551
319	0.3139825388
320	0.3138939709
321	0.3138228687
322	0.3135936568
323	0.3133901478
324	0.313135263
325	0.3129122814
326	0.3126447498
327	0.3124155245
328	0.3123551638
329	0.312303319
330	0.3120846486
331	0.3119805021
332	0.3118808028
333	0.3118186182
334	0.3115410688
335	0.3110942608
336	0.3110048663
