iter	Passed	Remaining
408	4997	3555
409	5011	3544
410	5023	3532
411	5035	3519
412	5048	3508
413	5060	3496
414	5074	3484
415	5086	3472
416	5098	3460
417	5111	3448
418	5122	3435
419	5133	3422
420	5145	3410
421	5165	3402
422	5176	3389
423	5187	3376
424	5199	3364
425	5210	3351
426	5221	3338
427	5233	3325
428	5246	3314
429	5259	3302
430	5271	3290
431	5284	3278
432	5296	3265
433	5309	3254
434	5323	3242
435	5334	3229
436	5345	3217
437	5358	3205
438	5369	3192
439	5381	3179
440	5393	3167
441	5411	3158
442	5421	3145
443	5432	3132
444	5445	3120
445	5457	3108
446	5468	3095
447	5482	3083
448	5496	3072
449	5507	3059
450	5520	3047
451	5533	3036
452	5546	3024
453	5559	3012
454	5570	2999
455	5583	2987
456	5594	2974
457	5605	2961
458	5617	2949
459	5629	2937
460	5641	2924
461	5659	2915
462	5670	2902
463	5684	2891
464	5695	2878
465	5708	2866
466	5719	2853
467	5732	2841
468	5745	2829
469	5757	2817
470	5768	2804
471	5780	2792
472	5792	2779
473	5803	2767
474	5814	2754
475	5827	2742
476	5837	2729
477	5848	2716
478	5860	2704
479	5872	2691
480	5885	2679
481	5899	2668
482	5917	2658
483	5930	2646
484	5943	2634
485	5956	2622
486	5969	2611
487	5982	2599
488	5994	2586
489	6005	2573
490	6016	2560
491	6027	2548
492	6037	2535
493	6049	2522
494	6061	2510
495	6072	2497
496	6083	2484
497	6095	2472
498	6107	2460
499	6118	2447
500	6129	2434
501	6141	2422
502	6156	2411
503	6170	2399
504	6183	2387
505	6192	2374
506	6203	2361
507	6215	2349
508	6226	2336
509	6238	2324
510	6251	2312
511	6263	2299
512	6275	2287
513	6288	2275
514	6300	2263
515	6313	2251
516	6324	2238
517	6338	2227
518	6350	2214
519	6364	2202
520	6379	2191
521	6392	2179
522	6409	2169
523	6420	2156
524	6433	2144
525	6443	2131
526	6455	2119
527	6466	2106
528	6478	2094
529	6488	2081
530	6498	2068
531	6510	2056
532	6522	2043
533	6533	2031
534	6545	2018
535	6557	2006
536	6568	1993
537	6580	1981
538	6593	1969
539	6608	1958
540	6620	1945
541	6631	1933
542	6643	1920
543	6661	1910
544	6673	1898
545	6686	1885
546	6697	1873
547	6708	1860
548	6721	1848
549	6732	1836
550	6744	1823
551	6755	1811
552	6767	1798
553	6780	1786
554	6793	1774
555	6805	1762
556	6818	1750
557	6829	1738
558	6842	1725
559	6853	1713
560	6865	1701
561	6877	1688
562	6894	1677
563	6905	1665
564	6916	1652
565	6930	1640
566	6944	1628
567	6957	1616
568	6969	1604
569	6981	1592
570	6995	1580
571	7009	1568
572	7023	1556
573	7035	1544
574	7048	1532
575	7059	1519
576	7069	1506
577	7081	1494
578	7093	1482
579	7105	1470
580	7119	1458
581	7132	1446
582	7150	1434
583	7161	1422
584	7175	1410
585	7186	1397
586	7197	1385
587	7210	1373
588	7222	1361
589	7232	1348
590	7244	1336
591	7254	1323
592	7267	1311
593	7280	1299
594	7293	1287
595	7305	1274
596	7317	1262
597	7328	1249
598	7340	1237
599	7351	1225
600	7361	1212
601	7374	1200
602	7392	1189
603	7405	1177
604	7417	1164
605	7428	1152
606	7442	1140
607	7454	1127
608	7465	1115
609	7476	1103
610	7487	1090
611	7500	1078
612	7512	1066
613	7524	1053
614	7536	1041
615	7546	1029
616	7559	1016
617	7571	1004
618	7583	992
619	7597	980
620	7609	968
621	7621	955
622	7639	944
623	7655	932
624	7666	919
625	7676	907
626	7689	895
627	7699	882
628	7711	870
629	7722	858
630	7735	845
631	7746	833
632	7758	821
633	7771	809
634	7786	797
635	7798	784
636	7810	772
637	7823	760
638	7836	748
639	7848	735
640	7859	723
641	7872	711
642	7890	699
643	7903	687
644	7914	674
645	7924	662
646	7936	650
647	7946	637
648	7957	625
649	7968	612
650	7980	600
651	7993	588
652	8005	576
653	8017	563
654	8028	551
655	8040	539
656	8051	526
657	8063	514
658	8075	502
659	8086	490
660	8098	477
661	8110	465
662	8131	453
663	8142	441
664	8153	429
665	8164	416
666	8176	404
667	8189	392
668	8201	380
669	8212	367
670	8224	355
671	8237	343
672	8248	330
673	8260	318
674	8273	306
675	8284	294
676	8295	281
677	8306	269
678	8315	257
679	8327	244
680	8340	232
681	8353	220
682	8367	208
683	8382	196
684	8395	183
685	8407	171
686	8420	159
687	8433	147
688	8446	134
689	8457	122
690	8468	110
691	8481	98
692	8494	85
693	8507	73
694	8519	61
695	8533	49
696	8546	36
697	8559	24
698	8570	12
699	8582	0
